Episodio ;Aureliano Adami ;Alberto Spadino Anacleti ;Gabriele Lele Marchilli;Amedeo Cinaglia;Sara Monaschi ;Manfredi Anacleti ;Livia Adami ;Tullio Adami ;Monsignor Theodosiou  ;Contessa Sveva Della Rocca Croce ;Angelica Sale ;Franco Marchilli ;Adelaide Anacleti ;Cardinale Cosimo Giunti ;Sandro Monaschi ;Gabriella;Isabelle Mbamba;Stefano Forsini;Gianni Taccon ;Alice ;Saverio Boiardo Guerri ;Romolo Lucci ;Cugino Spadino Boris;Giacomo Finucci;Valerio Samurai ;Aldo braccio destro manfredi;Vincenzo Sale;Ferdinando Badali;Madre Samurai;Ezio Quirino ;Mara Guagli (Compagna Franco);Cardinale Pascagni;Nadia Gravone;Adriano Latelli;Cristiana Massoli;Teo;Alex;Cardinale Nascari;Casa contessa ;Stabilimento Adami ;Chiosco Adami;Casa Prostituta(Termini);Vela di Calatrua;Eur;Palestra Aureliano;Vaticano;Parlamento ;Comune ;Ponte angelo ;Casa Anacleti ;Maneggio Samurai ;Pompa di Benziana Samurai ;Trasporti;Casa Festa;Locale Adami;Roma centro ;Periferia romana ;Casa Monaschi ;Casa Marchilli ;Casa Sale;Casa Cinaglia;Casa Theodosiou  ;Locale Anacleti;Casa Madre Samurai;Casa Adami;Distretto di Polizia Roma ;Casa Finucci ;Monastero ;Casa Madre Aureliano;Negozio Alice;Ostia;Radio Roma Sport;Ufficio Stampa Cinagia;Casa Teo;Distretto di Polizia Ostia;Indice IMDb
1;0,12891;0,05893;0,12523;0,06446;0,07182;0,06077;0,06998;0,04420;0,02394;0,03683;0,00000;0,02394;0,02210;0,01473;0,00368;0,02947;0,00184;0,00000;0,00000;0,01657;0,02394;0,00000;0,02947;0,02394;0,10497;0,00368;0,00368;0,01289;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,03554;0,04140;0,05171;0,00000;0,00000;0,07605;0,03269;0,05402;0,03198;0,04264;0,01741;0,06450;0,01652;0,03003;0,07303;0,10945;0,03340;0,08600;0,04922;0,02186;0,01564;0,06059;0,03891;0,00000;0,00000;0,00000;0,01741;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;7,6
2;0,19270;0,12576;0,12982;0,04868;0,12982;0,03651;0,07099;0,00000;0,05071;0,00000;0,03043;0,01826;0,00609;0,00609;0,00406;0,00000;0,01623;0,00000;0,00000;0,00000;0,01420;0,00406;0,00000;0,02637;0,04462;0,01014;0,00000;0,00000;0,00000;0,03448;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,06345;0,02912;0,11733;0,03911;0,00000;0,00000;0,12378;0,00000;0,05575;0,00000;0,06969;0,00000;0,02226;0,03994;0,00000;0,00000;0,09112;0,18161;0,01664;0,00000;0,00000;0,00000;0,07905;0,07115;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;7,8
3;0,16541;0,12406;0,07519;0,09398;0,12406;0,01880;0,05263;0,03759;0,03383;0,04135;0,02632;0,00000;0,00000;0,00000;0,00000;0,00000;0,01504;0,00000;0,00000;0,03383;0,00752;0,00000;0,00000;0,01128;0,13534;0,00376;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,02740;0,22151;0,05864;0,00000;0,00000;0,00000;0,04277;0,00000;0,04481;0,00000;0,08886;0,02996;0,02612;0,02433;0,00000;0,00000;0,21229;0,05301;0,00000;0,00000;0,00000;0,04456;0,02228;0,10346;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;7,8
4;0,21124;0,11910;0,14607;0,06517;0,04045;0,03820;0,04719;0,05618;0,00000;0,01573;0,02697;0,02247;0,00000;0,00000;0,00000;0,02247;0,02022;0,00000;0,02247;0,00000;0,01573;0,00000;0,00000;0,03371;0,04944;0,00000;0,01573;0,01573;0,00449;0,00449;0,00674;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,02517;0,00000;0,02474;0,04622;0,00000;0,00000;0,00000;0,00000;0,00000;0,02669;0,00000;0,07595;0,08398;0,00000;0,07943;0,00000;0,00000;0,12826;0,07769;0,00000;0,00803;0,02018;0,00000;0,06228;0,00000;0,01454;0,22222;0,05924;0,04536;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;8
5;0,14579;0,04556;0,07973;0,09112;0,07062;0,03417;0,09339;0,00000;0,00000;0,03645;0,02050;0,06378;0,03872;0,01822;0,00000;0,00000;0,00683;0,00000;0,06150;0,02506;0,00000;0,00228;0,00000;0,00000;0,11845;0,00000;0,00228;0,00000;0,00000;0,04556;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,02180;0,06725;0,11606;0,02459;0,00000;0,00000;0,00000;0,05365;0,00000;0,05384;0,00000;0,12425;0,04024;0,01751;0,02496;0,00000;0,00000;0,11475;0,11960;0,00000;0,04918;0,00000;0,03148;0,00000;0,00000;0,00000;0,14083;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;7,8
6;0,23225;0,11900;0,05374;0,09789;0,19002;0,06334;0,03263;0,00000;0,02303;0,00000;0,01727;0,00000;0,01919;0,00000;0,02303;0,02495;0,02303;0,02687;0,00000;0,00000;0,00384;0,00000;0,00000;0,00000;0,01727;0,01152;0,00576;0,00000;0,00000;0,01536;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,02810;0,11496;0,01288;0,00000;0,04144;0,07492;0,03020;0,00000;0,12245;0,00000;0,03044;0,06251;0,00000;0,00000;0,04683;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,05409;0,00000;0,00000;0,38118;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;7,9
7;0,10067;0,05145;0,08725;0,06711;0,21029;0,06264;0,04474;0,00000;0,00000;0,06040;0,02013;0,02685;0,00000;0,03356;0,05369;0,00000;0,03132;0,00000;0,01790;0,00000;0,00447;0,00447;0,00000;0,00000;0,11186;0,00895;0,00000;0,00000;0,00000;0,00224;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,03095;0,03181;0,00000;0,07011;0,02337;0,04544;0,00000;0,17723;0,02164;0,04198;0,03268;0,07834;0,08526;0,00606;0,03700;0,00000;0,00000;0,10301;0,09868;0,02705;0,06232;0,00000;0,00866;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,01839;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;7,8
8;0,09562;0,06972;0,06375;0,06375;0,07371;0,04382;0,08566;0,00000;0,00000;0,04781;0,06972;0,08167;0,01992;0,00000;0,01195;0,01195;0,02590;0,00000;0,00000;0,01594;0,00797;0,01394;0,00000;0,04781;0,11155;0,00598;0,00000;0,00797;0,00000;0,02390;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,03860;0,00000;0,00000;0,00000;0,00000;0,02159;0,02356;0,00000;0,03555;0,00000;0,17863;0,08288;0,04449;0,03730;0,00000;0,00000;0,22465;0,05104;0,00000;0,00000;0,00000;0,02857;0,00000;0,00000;0,00000;0,00611;0,06936;0,09531;0,00000;0,06238;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;8,1
9;0,16584;0,09406;0,06436;0,08168;0,02228;0,04950;0,07178;0,00000;0,00000;0,00000;0,01980;0,00000;0,00000;0,00000;0,04208;0,02475;0,06931;0,00000;0,00000;0,07673;0,00000;0,00000;0,00000;0,00000;0,12129;0,00248;0,00000;0,00000;0,00000;0,05446;0,03960;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,13059;0,00000;0,00000;0,10142;0,00000;0,00778;0,04946;0,00000;0,00000;0,00000;0,11364;0,08530;0,05418;0,02001;0,00000;0,00000;0,00000;0,00000;0,05946;0,06641;0,00000;0,04473;0,00000;0,00000;0,00000;0,00000;0,08197;0,00000;0,00000;0,12392;0,06113;0,00000;0,00000;0,00000;0,00000;0,00000;8,5
10;0,13978;0,08172;0,07957;0,14409;0,11183;0,00000;0,12473;0,00000;0,00000;0,00430;0,01505;0,00000;0,02366;0,00000;0,00645;0,01075;0,02366;0,00000;0,01075;0,00860;0,00000;0,02796;0,00000;0,00000;0,09462;0,00000;0,00000;0,01505;0,00430;0,00000;0,03656;0,03656;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;0,11088;0,00000;0,01817;0,07082;0,00000;0,00000;0,10923;0,03552;0,07103;0,00000;0,06442;0,02788;0,00578;0,02147;0,00000;0,00000;0,09416;0,07495;0,00000;0,04068;0,00000;0,05121;0,00000;0,03159;0,04295;0,10076;0,00000;0,00000;0,00000;0,02849;0,00000;0,00000;0,00000;0,00000;0,00000;0,00000;8,5
